,Unnamed: 0,Index,Scenario,Ordering,priority,prolog_priority,prolog_priority_solved
43,43,43,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white']]",[0 1 0 1],"[[2, 4, 4, 1, 3], [1, 3, 1, 4, 4], [2, 4, 4, 3, 1], [1, 1, 3, 4, 4]]","[0, 1, 0, 1]"
44,44,44,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_right', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'green', 'white']]",[1 1 1 0],"[[0, 0, 0, 4, 0], [0, 0, 4, 0, 0], [0, 0, 0, 0, 4], [0, 4, 0, 0, 0]]","[1, 1, 1, 0]"
45,45,45,"{'right': 'white_car_straight', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white'], ['red', 'green']]",[0 0 1 0],"[[1, 2, 3, 0, 2], [2, 2, 0, 2, 3], [1, 3, 2, 2, 0], [2, 0, 2, 3, 2]]","[1, 0, 1, 0]"
46,46,46,"{'right': 'green_car_straight', 'down': 'white_car_turn_left', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green', 'red'], ['white']]",[1 0 1 0],"[[1, 2, 0, 4, 1], [2, 1, 4, 2, 0], [1, 0, 2, 1, 4], [2, 4, 1, 0, 2]]","[1, 0, 1, 0]"
47,47,47,"{'right': 'green_car_turn_right', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk'], ['white']]",[1 0 1 0],"[[1, 0, 3, 4, 2], [2, 2, 4, 0, 3], [1, 3, 0, 2, 4], [2, 4, 2, 3, 0]]","[1, 1, 1, 0]"
48,48,48,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green'], ['white'], ['red']]",[1 0 0 0],"[[1, 0, 1, 4, 0], [2, 0, 4, 0, 1], [1, 1, 0, 0, 4], [2, 4, 0, 1, 0]]","[1, 1, 0, 0]"
49,49,49,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['green']]",[0 0 1 0],"[[1, 4, 3, 4, 1], [2, 1, 4, 4, 3], [1, 3, 4, 1, 4], [2, 4, 1, 3, 4]]","[0, 1, 1, 0]"
50,50,50,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red']]",[0 0 0 1],"[[2, 4, 1, 3, 4], [1, 4, 3, 4, 1], [2, 1, 4, 4, 3], [1, 3, 4, 1, 4]]","[0, 0, 1, 1]"
51,51,51,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_turn_left', 'up': 'red_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['green']]",[0 1 0 0],"[[2, 4, 1, 2, 3], [1, 3, 2, 4, 1], [2, 1, 4, 3, 2], [1, 2, 3, 1, 4]]","[0, 1, 0, 1]"
52,52,52,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red'], ['green']]",[0 1 0 0],"[[0, 4, 1, 4, 1], [0, 1, 4, 4, 1], [0, 1, 4, 1, 4], [0, 4, 1, 1, 4]]","[0, 1, 0, 0]"
53,53,53,"{'right': 'white_car_straight', 'down': 'red_car_turn_right', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'red'], ['green'], ['white']]",[0 1 1 0],"[[2, 2, 3, 0, 0], [1, 0, 0, 2, 3], [2, 3, 2, 0, 0], [1, 0, 0, 3, 2]]","[1, 1, 1, 1]"
54,54,54,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk'], ['red']]",[1 0 1 0],"[[1, 3, 1, 4, 2], [2, 2, 4, 3, 1], [1, 1, 3, 2, 4], [2, 4, 2, 1, 3]]","[1, 1, 1, 0]"
55,55,55,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['green']]",[1 0 0 0],"[[2, 3, 2, 4, 4], [1, 4, 4, 3, 2], [2, 2, 3, 4, 4], [1, 4, 4, 2, 3]]","[1, 0, 1, 0]"
56,56,56,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['green', 'crosswalk']]",[0 1 0 1],"[[0, 4, 4, 3, 0], [0, 0, 3, 4, 4], [0, 4, 4, 0, 3], [0, 3, 0, 4, 4]]","[0, 1, 0, 1]"
57,57,57,"{'right': 'red_car_turn_left', 'down': 'crosswalk', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'white'], ['red']]",[0 1 1 0],"[[0, 1, 1, 4, 3], [0, 3, 4, 1, 1], [0, 1, 1, 3, 4], [0, 4, 3, 1, 1]]","[1, 1, 1, 0]"
58,58,58,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green', 'white']]",[1 1 1 0],"[[0, 3, 0, 4, 2], [0, 2, 4, 3, 0], [0, 0, 3, 2, 4], [0, 4, 2, 0, 3]]","[1, 1, 1, 0]"
59,59,59,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['red', 'green', 'white']]",[0 1 1 1],"[[0, 4, 0, 0, 0], [0, 0, 0, 4, 0], [0, 0, 4, 0, 0], [0, 0, 0, 0, 4]]","[0, 1, 1, 1]"
60,60,60,"{'right': 'crosswalk', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red']]",[1 0 1 0],"[[2, 3, 0, 4, 4], [1, 4, 4, 3, 0], [2, 0, 3, 4, 4], [1, 4, 4, 0, 3]]","[1, 0, 1, 0]"
61,61,61,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red', 'green']]",[1 0 0 1],"[[1, 0, 4, 1, 4], [2, 4, 1, 0, 4], [1, 4, 0, 4, 1], [2, 1, 4, 4, 0]]","[1, 0, 0, 1]"
62,62,62,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['white'], ['red']]",[0 0 0 1],"[[0, 1, 4, 1, 4], [0, 4, 1, 1, 4], [0, 4, 1, 4, 1], [0, 1, 4, 4, 1]]","[0, 0, 0, 1]"
63,63,63,"{'right': 'crosswalk', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['green']]",[1 0 0 0],"[[2, 3, 4, 1, 0], [1, 0, 1, 3, 4], [2, 4, 3, 0, 1], [1, 1, 0, 4, 3]]","[1, 1, 0, 0]"
64,64,64,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]",[0 0 1 0],"[[1, 4, 3, 4, 1], [2, 1, 4, 4, 3], [1, 3, 4, 1, 4], [2, 4, 1, 3, 4]]","[0, 1, 1, 0]"
65,65,65,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'red_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk'], ['green']]",[0 0 1 1],"[[1, 4, 2, 3, 1], [2, 1, 3, 4, 2], [1, 2, 4, 1, 3], [2, 3, 1, 2, 4]]","[0, 0, 1, 1]"
66,66,66,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['red', 'white']]",[0 1 0 1],"[[1, 4, 4, 0, 2], [2, 2, 0, 4, 4], [1, 4, 4, 2, 0], [2, 0, 2, 4, 4]]","[0, 1, 0, 1]"
67,67,67,"{'right': 'white_car_straight', 'down': 'red_car_straight', 'left': 'green_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['white'], ['green']]",[0 0 0 1],"[[2, 2, 1, 3, 2], [1, 2, 3, 2, 1], [2, 1, 2, 2, 3], [1, 3, 2, 1, 2]]","[0, 1, 0, 1]"
68,68,68,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['red', 'white']]",[1 0 0 1],"[[2, 0, 4, 1, 4], [1, 4, 1, 0, 4], [2, 4, 0, 4, 1], [1, 1, 4, 4, 0]]","[1, 0, 0, 1]"
69,69,69,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk']]",[1 0 0 1],"[[2, 2, 4, 3, 4], [1, 4, 3, 2, 4], [2, 4, 2, 4, 3], [1, 3, 4, 4, 2]]","[1, 0, 0, 1]"
70,70,70,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['green']]",[1 0 0 0],"[[1, 3, 4, 4, 0], [2, 0, 4, 3, 4], [1, 4, 3, 0, 4], [2, 4, 0, 4, 3]]","[1, 1, 0, 0]"
71,71,71,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['green']]",[1 0 0 0],"[[2, 3, 4, 4, 0], [1, 0, 4, 3, 4], [2, 4, 3, 0, 4], [1, 4, 0, 4, 3]]","[1, 1, 0, 0]"
72,72,72,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red']]",[0 0 0 1],"[[2, 0, 4, 3, 4], [1, 4, 3, 0, 4], [2, 4, 0, 4, 3], [1, 3, 4, 4, 0]]","[1, 0, 0, 1]"
73,73,73,"{'right': 'white_car_turn_left', 'down': 'red_car_turn_left', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white'], ['red'], ['green']]",[1 0 0 0],"[[0, 1, 1, 4, 1], [0, 1, 4, 1, 1], [0, 1, 1, 1, 4], [0, 4, 1, 1, 1]]","[1, 0, 0, 0]"
74,74,74,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['white', 'crosswalk', 'red']]",[0 1 1 1],"[[0, 4, 3, 2, 2], [0, 2, 2, 4, 3], [0, 3, 4, 2, 2], [0, 2, 2, 3, 4]]","[0, 1, 1, 1]"
75,75,75,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['green', 'crosswalk'], ['white']]",[1 0 1 0],"[[0, 3, 0, 2, 4], [0, 4, 2, 3, 0], [0, 0, 3, 4, 2], [0, 2, 4, 0, 3]]","[1, 0, 1, 0]"
76,76,76,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['white'], ['red']]",[0 0 1 0],"[[2, 1, 2, 4, 4], [1, 4, 4, 1, 2], [2, 2, 1, 4, 4], [1, 4, 4, 2, 1]]","[0, 0, 1, 0]"
