,Index,Scenario,Ordering,priority,prolog_priority
10,10,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red'], ['white']]",[1 0 0 0],"[[1, 1, 4, 1, 4], [2, 4, 1, 1, 4], [1, 4, 1, 4, 1], [2, 1, 4, 4, 1]]"
11,11,"{'right': 'white_car_straight', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]",[0 0 1 0],"[[2, 2, 3, 4, 1], [1, 1, 4, 2, 3], [2, 3, 2, 1, 4], [1, 4, 1, 3, 2]]"
12,12,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red']]",[0 1 1 0],"[[2, 4, 1, 4, 3], [1, 3, 4, 4, 1], [2, 1, 4, 3, 4], [1, 4, 3, 1, 4]]"
13,13,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green', 'crosswalk', 'red']]",[1 1 1 0],"[[1, 0, 2, 4, 3], [2, 3, 4, 0, 2], [1, 2, 0, 3, 4], [2, 4, 3, 2, 0]]"
14,14,"{'right': 'crosswalk', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green']]",[1 1 0 0],"[[2, 3, 4, 4, 1], [1, 1, 4, 3, 4], [2, 4, 3, 1, 4], [1, 4, 1, 4, 3]]"
15,15,"{'right': 'green_car_straight', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green'], ['white']]",[0 0 1 0],"[[0, 2, 3, 4, 2], [0, 2, 4, 2, 3], [0, 3, 2, 2, 4], [0, 4, 2, 3, 2]]"
16,16,"{'right': 'crosswalk', 'down': 'empty', 'left': 'red_car_straight', 'up': 'green_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green'], ['red']]",[1 0 0 1],"[[2, 3, 2, 2, 4], [1, 4, 2, 3, 2], [2, 2, 3, 4, 2], [1, 2, 4, 2, 3]]"
17,17,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'red']]",[0 1 0 1],"[[1, 4, 4, 0, 3], [2, 3, 0, 4, 4], [1, 4, 4, 3, 0], [2, 0, 3, 4, 4]]"
18,18,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['green', 'crosswalk', 'red']]",[1 1 0 1],"[[1, 0, 4, 0, 3], [2, 3, 0, 0, 4], [1, 4, 0, 3, 0], [2, 0, 3, 4, 0]]"
19,19,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk', 'green']]",[0 0 1 1],"[[0, 4, 3, 1, 4], [0, 4, 1, 4, 3], [0, 3, 4, 4, 1], [0, 1, 4, 3, 4]]"
20,20,"{'right': 'red_car_straight', 'down': 'white_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['red'], ['white']]",[0 0 1 0],"[[1, 2, 3, 4, 1], [2, 1, 4, 2, 3], [1, 3, 2, 1, 4], [2, 4, 1, 3, 2]]"
21,21,"{'right': 'crosswalk', 'down': 'white_car_turn_right', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['white'], ['red']]",[1 0 0 0],"[[2, 3, 2, 4, 0], [1, 0, 4, 3, 2], [2, 2, 3, 0, 4], [1, 4, 0, 2, 3]]"
22,22,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green', 'white']]",[1 1 0 1],"[[1, 3, 4, 0, 2], [2, 2, 0, 3, 4], [1, 4, 3, 2, 0], [2, 0, 2, 4, 3]]"
23,23,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'triangles_vertical'}","[['red'], ['green']]",[1 0 0 0],"[[1, 2, 4, 2, 4], [2, 4, 2, 2, 4], [1, 4, 2, 4, 2], [2, 2, 4, 4, 2]]"
24,24,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'red_car_turn_left', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['white'], ['red'], ['green']]",[1 0 0 0],"[[1, 2, 1, 1, 4], [2, 4, 1, 2, 1], [1, 1, 2, 4, 1], [2, 1, 4, 1, 2]]"
25,25,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'red', 'green']]",[1 1 0 1],"[[1, 3, 4, 2, 2], [2, 2, 2, 3, 4], [1, 4, 3, 2, 2], [2, 2, 2, 4, 3]]"
26,26,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red'], ['green']]",[0 1 0 0],"[[0, 4, 0, 1, 3], [0, 3, 1, 4, 0], [0, 0, 4, 3, 1], [0, 1, 3, 0, 4]]"
27,27,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'red_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['green']]",[0 0 1 1],"[[2, 4, 0, 3, 2], [1, 2, 3, 4, 0], [2, 0, 4, 2, 3], [1, 3, 2, 0, 4]]"
28,28,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]",[1 0 0 0],"[[1, 3, 2, 4, 4], [2, 4, 4, 3, 2], [1, 2, 3, 4, 4], [2, 4, 4, 2, 3]]"
29,29,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'stop_vertical'}","[['green', 'white']]",[0 1 0 1],"[[1, 4, 4, 2, 2], [2, 2, 2, 4, 4], [1, 4, 4, 2, 2], [2, 2, 2, 4, 4]]"
30,30,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'green_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['green'], ['red']]",[0 1 0 0],"[[2, 4, 0, 2, 3], [1, 3, 2, 4, 0], [2, 0, 4, 3, 2], [1, 2, 3, 0, 4]]"
31,31,"{'right': 'red_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['red', 'green', 'crosswalk']]",[1 1 0 1],"[[0, 1, 4, 3, 0], [0, 0, 3, 1, 4], [0, 4, 1, 0, 3], [0, 3, 0, 4, 1]]"
32,32,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'green'], ['white']]",[1 0 0 1],"[[1, 3, 2, 0, 4], [2, 4, 0, 3, 2], [1, 2, 3, 4, 0], [2, 0, 4, 2, 3]]"
33,33,"{'right': 'white_car_turn_left', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'red'], ['white']]",[0 1 1 0],"[[2, 1, 0, 4, 0], [1, 0, 4, 1, 0], [2, 0, 1, 0, 4], [1, 4, 0, 0, 1]]"
34,34,"{'right': 'crosswalk', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'red']]",[1 0 1 0],"[[1, 3, 0, 4, 4], [2, 4, 4, 3, 0], [1, 0, 3, 4, 4], [2, 4, 4, 0, 3]]"
35,35,"{'right': 'white_car_turn_right', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['white', 'crosswalk'], ['red'], ['green']]",[1 0 1 0],"[[0, 0, 3, 0, 1], [0, 1, 0, 0, 3], [0, 3, 0, 1, 0], [0, 0, 1, 3, 0]]"
36,36,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green', 'white'], ['red']]",[0 1 0 1],"[[2, 0, 4, 1, 1], [1, 1, 1, 0, 4], [2, 4, 0, 1, 1], [1, 1, 1, 4, 0]]"
37,37,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'white']]",[1 1 0 0],"[[0, 1, 4, 4, 0], [0, 0, 4, 1, 4], [0, 4, 1, 0, 4], [0, 4, 0, 4, 1]]"
38,38,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green']]",[1 1 0 0],"[[2, 3, 4, 4, 2], [1, 2, 4, 3, 4], [2, 4, 3, 2, 4], [1, 4, 2, 4, 3]]"
39,39,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk'], ['red']]",[0 1 0 1],"[[2, 4, 2, 1, 3], [1, 3, 1, 4, 2], [2, 2, 4, 3, 1], [1, 1, 3, 2, 4]]"
40,40,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'white_car_turn_left', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green'], ['red'], ['white']]",[1 1 0 0],"[[2, 3, 1, 1, 2], [1, 2, 1, 3, 1], [2, 1, 3, 2, 1], [1, 1, 2, 1, 3]]"
41,41,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk'], ['white']]",[1 0 1 0],"[[1, 1, 3, 1, 4], [2, 4, 1, 1, 3], [1, 3, 1, 4, 1], [2, 1, 4, 3, 1]]"
42,42,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk'], ['red']]",[0 0 1 1],"[[2, 1, 0, 3, 4], [1, 4, 3, 1, 0], [2, 0, 1, 4, 3], [1, 3, 4, 0, 1]]"
43,43,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white']]",[0 1 0 1],"[[2, 4, 4, 1, 3], [1, 3, 1, 4, 4], [2, 4, 4, 3, 1], [1, 1, 3, 4, 4]]"
44,44,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_right', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'green', 'white']]",[1 1 1 0],"[[0, 0, 0, 4, 0], [0, 0, 4, 0, 0], [0, 0, 0, 0, 4], [0, 4, 0, 0, 0]]"
45,45,"{'right': 'white_car_straight', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white'], ['red', 'green']]",[0 0 1 0],"[[1, 2, 3, 0, 2], [2, 2, 0, 2, 3], [1, 3, 2, 2, 0], [2, 0, 2, 3, 2]]"
46,46,"{'right': 'green_car_straight', 'down': 'white_car_turn_left', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green', 'red'], ['white']]",[1 0 1 0],"[[1, 2, 0, 4, 1], [2, 1, 4, 2, 0], [1, 0, 2, 1, 4], [2, 4, 1, 0, 2]]"
47,47,"{'right': 'green_car_turn_right', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk'], ['white']]",[1 0 1 0],"[[1, 0, 3, 4, 2], [2, 2, 4, 0, 3], [1, 3, 0, 2, 4], [2, 4, 2, 3, 0]]"
48,48,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green'], ['white'], ['red']]",[1 0 0 0],"[[1, 0, 1, 4, 0], [2, 0, 4, 0, 1], [1, 1, 0, 0, 4], [2, 4, 0, 1, 0]]"
49,49,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['green']]",[0 0 1 0],"[[1, 4, 3, 4, 1], [2, 1, 4, 4, 3], [1, 3, 4, 1, 4], [2, 4, 1, 3, 4]]"
50,50,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red']]",[0 0 0 1],"[[2, 4, 1, 3, 4], [1, 4, 3, 4, 1], [2, 1, 4, 4, 3], [1, 3, 4, 1, 4]]"
51,51,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_turn_left', 'up': 'red_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['green']]",[0 1 0 0],"[[2, 4, 1, 2, 3], [1, 3, 2, 4, 1], [2, 1, 4, 3, 2], [1, 2, 3, 1, 4]]"
52,52,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red'], ['green']]",[0 1 0 0],"[[0, 4, 1, 4, 1], [0, 1, 4, 4, 1], [0, 1, 4, 1, 4], [0, 4, 1, 1, 4]]"
53,53,"{'right': 'white_car_straight', 'down': 'red_car_turn_right', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'red'], ['green'], ['white']]",[0 1 1 0],"[[2, 2, 3, 0, 0], [1, 0, 0, 2, 3], [2, 3, 2, 0, 0], [1, 0, 0, 3, 2]]"
54,54,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk'], ['red']]",[1 0 1 0],"[[1, 3, 1, 4, 2], [2, 2, 4, 3, 1], [1, 1, 3, 2, 4], [2, 4, 2, 1, 3]]"
55,55,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['green']]",[1 0 0 0],"[[2, 3, 2, 4, 4], [1, 4, 4, 3, 2], [2, 2, 3, 4, 4], [1, 4, 4, 2, 3]]"
56,56,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['green', 'crosswalk']]",[0 1 0 1],"[[0, 4, 4, 3, 0], [0, 0, 3, 4, 4], [0, 4, 4, 0, 3], [0, 3, 0, 4, 4]]"
57,57,"{'right': 'red_car_turn_left', 'down': 'crosswalk', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'white'], ['red']]",[0 1 1 0],"[[0, 1, 1, 4, 3], [0, 3, 4, 1, 1], [0, 1, 1, 3, 4], [0, 4, 3, 1, 1]]"
58,58,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green', 'white']]",[1 1 1 0],"[[0, 3, 0, 4, 2], [0, 2, 4, 3, 0], [0, 0, 3, 2, 4], [0, 4, 2, 0, 3]]"
59,59,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['red', 'green', 'white']]",[0 1 1 1],"[[0, 4, 0, 0, 0], [0, 0, 0, 4, 0], [0, 0, 4, 0, 0], [0, 0, 0, 0, 4]]"
60,60,"{'right': 'crosswalk', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red']]",[1 0 1 0],"[[2, 3, 0, 4, 4], [1, 4, 4, 3, 0], [2, 0, 3, 4, 4], [1, 4, 4, 0, 3]]"
61,61,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red', 'green']]",[1 0 0 1],"[[1, 0, 4, 1, 4], [2, 4, 1, 0, 4], [1, 4, 0, 4, 1], [2, 1, 4, 4, 0]]"
62,62,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['white'], ['red']]",[0 0 0 1],"[[0, 1, 4, 1, 4], [0, 4, 1, 1, 4], [0, 4, 1, 4, 1], [0, 1, 4, 4, 1]]"
63,63,"{'right': 'crosswalk', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['green']]",[1 0 0 0],"[[2, 3, 4, 1, 0], [1, 0, 1, 3, 4], [2, 4, 3, 0, 1], [1, 1, 0, 4, 3]]"
64,64,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]",[0 0 1 0],"[[1, 4, 3, 4, 1], [2, 1, 4, 4, 3], [1, 3, 4, 1, 4], [2, 4, 1, 3, 4]]"
65,65,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'red_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk'], ['green']]",[0 0 1 1],"[[1, 4, 2, 3, 1], [2, 1, 3, 4, 2], [1, 2, 4, 1, 3], [2, 3, 1, 2, 4]]"
66,66,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['red', 'white']]",[0 1 0 1],"[[1, 4, 4, 0, 2], [2, 2, 0, 4, 4], [1, 4, 4, 2, 0], [2, 0, 2, 4, 4]]"
67,67,"{'right': 'white_car_straight', 'down': 'red_car_straight', 'left': 'green_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['white'], ['green']]",[0 0 0 1],"[[2, 2, 1, 3, 2], [1, 2, 3, 2, 1], [2, 1, 2, 2, 3], [1, 3, 2, 1, 2]]"
68,68,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['red', 'white']]",[1 0 0 1],"[[2, 0, 4, 1, 4], [1, 4, 1, 0, 4], [2, 4, 0, 4, 1], [1, 1, 4, 4, 0]]"
69,69,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk']]",[1 0 0 1],"[[2, 2, 4, 3, 4], [1, 4, 3, 2, 4], [2, 4, 2, 4, 3], [1, 3, 4, 4, 2]]"
70,70,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['green']]",[1 0 0 0],"[[1, 3, 4, 4, 0], [2, 0, 4, 3, 4], [1, 4, 3, 0, 4], [2, 4, 0, 4, 3]]"
71,71,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['green']]",[1 0 0 0],"[[2, 3, 4, 4, 0], [1, 0, 4, 3, 4], [2, 4, 3, 0, 4], [1, 4, 0, 4, 3]]"
72,72,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red']]",[0 0 0 1],"[[2, 0, 4, 3, 4], [1, 4, 3, 0, 4], [2, 4, 0, 4, 3], [1, 3, 4, 4, 0]]"
73,73,"{'right': 'white_car_turn_left', 'down': 'red_car_turn_left', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white'], ['red'], ['green']]",[1 0 0 0],"[[0, 1, 1, 4, 1], [0, 1, 4, 1, 1], [0, 1, 1, 1, 4], [0, 4, 1, 1, 1]]"
74,74,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['white', 'crosswalk', 'red']]",[0 1 1 1],"[[0, 4, 3, 2, 2], [0, 2, 2, 4, 3], [0, 3, 4, 2, 2], [0, 2, 2, 3, 4]]"
75,75,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['green', 'crosswalk'], ['white']]",[1 0 1 0],"[[0, 3, 0, 2, 4], [0, 4, 2, 3, 0], [0, 0, 3, 4, 2], [0, 2, 4, 0, 3]]"
76,76,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['white'], ['red']]",[0 0 1 0],"[[2, 1, 2, 4, 4], [1, 4, 4, 1, 2], [2, 2, 1, 4, 4], [1, 4, 4, 2, 1]]"
77,77,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'red'], ['green']]",[1 0 0 1],"[[1, 3, 4, 0, 0], [2, 0, 0, 3, 4], [1, 4, 3, 0, 0], [2, 0, 0, 4, 3]]"
78,78,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['white'], ['green']]",[0 0 0 1],"[[0, 2, 4, 2, 4], [0, 4, 2, 2, 4], [0, 4, 2, 4, 2], [0, 2, 4, 4, 2]]"
79,79,"{'right': 'green_car_straight', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['red'], ['green'], ['white']]",[0 0 0 1],"[[0, 2, 4, 0, 1], [0, 1, 0, 2, 4], [0, 4, 2, 1, 0], [0, 0, 1, 4, 2]]"
80,80,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk']]",[0 1 1 0],"[[1, 4, 3, 4, 2], [2, 2, 4, 4, 3], [1, 3, 4, 2, 4], [2, 4, 2, 3, 4]]"
81,81,"{'right': 'green_car_turn_right', 'down': 'white_car_straight', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['green', 'red'], ['white']]",[1 0 0 1],"[[0, 0, 4, 0, 2], [0, 2, 0, 0, 4], [0, 4, 0, 2, 0], [0, 0, 2, 4, 0]]"
82,82,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]",[0 0 0 1],"[[2, 4, 1, 3, 2], [1, 2, 3, 4, 1], [2, 1, 4, 2, 3], [1, 3, 2, 1, 4]]"
83,83,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk']]",[1 0 0 1],"[[2, 1, 4, 3, 4], [1, 4, 3, 1, 4], [2, 4, 1, 4, 3], [1, 3, 4, 4, 1]]"
84,84,"{'right': 'white_car_straight', 'down': 'crosswalk', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk']]",[1 1 0 0],"[[2, 2, 4, 4, 3], [1, 3, 4, 2, 4], [2, 4, 2, 3, 4], [1, 4, 3, 4, 2]]"
